"MEAS, T_start, RH_ref, T_dew_ref,CAP,,,,,,,,,,,,,,,,,,,,,,,,PRX1,,,,,,,,,,,,,,,,,,,,,,,,PRX2,,,,,,,,,,,,,,,,,,,,,,,,Tref_SHT,,,,RH_SHT,,,,Tdew_SHT,,,"
",,,,Cycle0,,,,,,Cycle1,,,,,,Cycle2,,,,,,Cycle3,,,,,,Cycle0,,,,,,Cycle1,,,,,,Cycle2,,,,,,Cycle3,,,,,,Cycle0,,,,,,Cycle1,,,,,,Cycle2,,,,,,Cycle3,,,,,,0,1,2,3,0,1,2,3,0,1,2,3"
",,,,T,,RH,,i,,T,,RH,,i,,T,,RH,,i,,T,,RH,,i,,T,,RH,,i,,T,,RH,,i,,T,,RH,,i,,T,,RH,,i,,T,,RH,,i,,T,,RH,,i,,T,,RH,,i,,T,,RH,,i,,,,,,,,,,,,,"
",,,,dyLow,ddy0,dyLow,ddy0,dyLow,ddy0,dyLow,ddy0,dyLow,ddy0,dyLow,ddy0,dyLow,ddy0,dyLow,ddy0,dyLow,ddy0,dyLow,ddy0,dyLow,ddy0,dyLow,ddy0,ddyLow,dyLow,ddyLow,dyLow,ddyLow,dyLow,ddyLow,dyLow,ddyLow,dyLow,ddyLow,dyLow,ddyLow,dyLow,ddyLow,dyLow,ddyLow,dyLow,ddyLow,dyLow,ddyLow,dyLow,ddyLow,dyLow,ddyLow,dyLow,ddyLow,dyLow,ddyLow,dyLow,ddyLow,dyLow,ddyLow,dyLow,ddyLow,dyLow,ddyLow,dyLow,ddyLow,dyLow,ddyLow,dyLow,ddyLow,dyLow,ddyLow,dyLow,ddyLow,dyLow,,,,,,,,,,,,"
C:/Users/malte/Documents/master/measurements/thesis/t10rh33.4,10,33.47,-5.301454091468737,-10.23,-10.23,22.903110583499583,22.903110583499583,102,106,-4.7,-10.62,35.14881858055066,22.20413079173122,426,502,-4.41,-7.99,35.92711075774245,27.3100188045949,967,1058,-4.98,-6.56,34.41158391151702,30.5026868660242,1527,1608,-8.33,-9.82,26.596071167115554,23.65896688521485,90,96,-5.28,-8.39,33.63693398730776,26.471816082568672,433,472,-4.48,-6.57,35.73786176413491,30.47925745662738,967,1020,-5.05,-5.32,34.229431268557704,33.53482460365873,1527,1542,-4.95,-8.59,34.48991205708226,26.061348180054605,77,91,-5.28,-5.93,33.63693398730776,32.011352405649276,433,441,-4.48,-5.21,35.73786176413491,33.816288980262584,967,985,-5.05,-5.18,34.229431268557704,33.89341464346917,1527,1533,10.03,-0.16,-0.15,-0.13,0.33020000000000005,0.6381,0.665,0.6770999999999999,-5.496978535049816,-6.178720268510609,-5.6287466285066845,-5.372806135127658
C:/Users/malte/Documents/master/measurements/thesis/t10rh57.4,10,57.36,1.9246938872099777,-2.83,-6.78,40.44187695993337,29.990914740891604,70,85,1.85,1.48,56.90190411389574,55.41327931655684,433,438,1.74,1.74,56.45569368062574,56.45569368062574,693,693,1.98,1.98,57.433257666652814,57.433257666652814,1086,1086,1.36,-1.64,54.93792724295458,44.166847588475136,53,65,1.83,1.43,56.820543998529885,55.21477616087971,433,438,1.8,1.75,56.69869648924376,56.496130148012725,692,693,1.99,1.99,57.474311945973696,57.474311945973696,1086,1086,1.36,0.3,54.93792724295458,50.892965992570836,53,57,1.83,1.43,56.820543998529885,55.21477616087971,433,438,1.8,1.75,56.69869648924376,56.496130148012725,692,693,1.99,1.99,57.474311945973696,57.474311945973696,1086,1086,9.95,9.37,7.27,6.89,0.5748,0.6859000000000001,0.7544,0.7517,1.9445656165397258,3.8879608917922663,3.2181620229453585,2.800090149603739
C:/Users/malte/Documents/master/measurements/thesis/t10rh75,10,75.67,5.940797861460635,3.45,-2.15,63.75376080794327,42.53480214633763,54,93,4.34,2.57,67.87194791314009,59.90026413384605,1047,1070,5.83,4.14,75.2933592788917,66.92661585493201,1985,2028,5.69,4.79,74.56683980025683,70.04212815070429,3325,3369,9.03,0.16,93.69225750819751,50.3789148443047,27,71,6.6,5.73,79.40183760904557,74.77378357522798,1020,1030,6.94,6.04,81.27795946533925,76.39483694676127,1958,1980,6.71,6.1,80.0045991784968,76.71214173854783,3272,3302,10.04,9.46,100.26794184936026,96.4439142546204,21,24,5.41,5.34,73.13231403923274,72.77750665354579,1034,1035,7.46,7.39,84.22287009201584,83.8210456740203,1945,1948,6.71,6.58,80.0045991784968,79.29267548344129,3272,3280,10.04,7.81,7.82,7.86,0.7848,0.875,0.8779,0.8794,6.469194763808132,5.86488305302362,5.922555119215964,5.9866321673620675
C:/Users/malte/Documents/master/measurements/thesis/t10rh98.2,10,98.18,9.745733167633265,6.25,5.05,77.51049019520634,71.32370412105494,36,41,9.34,6.52,95.66895048909966,78.96598198162937,798,834,10.18,7.54,101.21071633067035,84.68417414766552,1401,1468,10.35,8.46,102.36598537864137,90.15129260497862,2126,2222,1.37,6.94,54.97740184611979,81.27795946533925,54,34,9.34,8.41,95.66895048909966,89.84637587852573,798,809,10.95,9.04,106.53661099663113,93.75545649800601,1383,1429,10.35,9.91,102.36598537864137,99.39943163885313,2126,2148,1.37,5.44,54.97740184611979,73.28484055454088,54,39,9.34,8.59,95.66895048909966,90.94834227169471,798,807,10.95,9.28,106.53661099663113,95.28352678908894,1383,1423,10.35,9.89,102.36598537864137,99.26640354696089,2126,2149,10.01,11.2,11.34,11.38,0.9102,0.932,0.9425,0.9476,8.611525714866573,10.141748094307268,10.448496722754168,10.56921342838667
C:/Users/malte/Documents/master/measurements/thesis/t25rh32.8,25,32.78,7.55103847210734,5.05,0.57,27.68618060615884,20.145370992488445,98,116,8.38,5.52,34.805397495428025,28.60586591993517,527,564,7.87,6.06,33.6202147314022,29.69568159314651,779,825,7.77,6.62,33.39203853644935,30.86434714658776,1168,1225,7.47,5.12,32.71566910440518,27.821480650667397,88,97,6.85,6.32,31.355951507518874,30.233335130535753,546,552,7.78,6.68,33.414794637578034,30.991932633282214,779,806,7.69,7.24,33.21048036250952,32.20531866643191,1168,1189,7.47,6.18,32.71566910440518,29.94277322627695,88,93,6.85,6.77,31.355951507518874,31.18418203453914,546,547,7.78,7.33,33.414794637578034,32.404179867631235,779,790,8.44,7.66,34.94721967925617,33.14262046075761,1129,1169,25.04,11.37,11.45,11.43,0.32439999999999997,0.6604000000000001,0.6820999999999999,0.6742,7.380963810603081,5.253863629561721,5.796044125714133,5.60882884937182
C:/Users/malte/Documents/master/measurements/thesis/t25rh52.9,25,52.89,14.674457923923258,13.23,8.55,48.04805547828466,35.20854840355969,67,88,15.25,12.38,54.753675976291525,45.44929456203268,534,571,15.08,13.84,54.159331145462296,49.99256836004026,889,924,15.11,14.38,54.26380259998738,51.77121156408607,1334,1375,13.04,12.48,47.456104633719555,45.74848152456104,67,69,14.19,13.72,51.13916436376079,49.60467618500199,546,551,14.9,12.98,53.536198073941364,47.27050764884002,889,938,14.94,14.21,53.67412606971822,51.20537531103909,1334,1374,7.77,7.75,33.39203853644935,33.346567262392526,89,90,14.19,13.81,51.13916436376079,49.89534664556447,546,550,14.9,18.62,53.536198073941364,67.7764603558239,889,798,14.94,14.81,53.67412606971822,53.22699596398832,1334,1342,24.95,18.73,18.77,18.77,0.5301,0.7731,0.8064,0.8387,14.700390990454702,14.672962391686111,15.367918390688722,15.982106550820454
C:/Users/malte/Documents/master/measurements/thesis/t25rh75,25,75.29,20.226896584074446,19.1,17.8,69.83605016775498,64.38077591586536,61,70,20.7,19.06,77.10220206588191,69.66235084159634,287,308,21.14,19.48,79.21274610075476,71.50518570361194,543,585,20.55,19.83,76.3940206036312,73.0733126833105,873,907,17.02,15.97,61.289921089481325,57.3347728585725,76,84,22.04,17.61,83.68757540889506,63.61556917166536,272,326,21.16,18.65,79.3098678178116,67.90360933947133,543,607,21.15,19.65,79.26129395946519,72.26313167108962,843,920,19.09,18.28,69.79258985063557,66.34993404804064,61,67,22.04,20.35,83.68757540889506,75.45862741692994,272,292,21.16,20.42,79.3098678178116,75.7848695745037,543,562,19.22,20.61,70.35942376815906,76.67660787526749,940,872,24.91,22.83,22.86,22.84,0.75,0.8595999999999999,0.8824,0.8911,20.16436997168782,20.352299756488883,20.80718312211542,20.947286231848803
C:/Users/malte/Documents/master/measurements/thesis/t25rh97.6,25,97.59,24.610465165451167,24.4,20.52,96.48600615265504,76.25306869032559,24,39,24.87,21.91,99.22930816218219,83.0278728021871,479,516,24.48,22.87,96.94822477101084,88.00848304890991,885,927,24.46,22.98,96.83248942021199,88.59550045553289,1386,1461,24.38,22.62,96.37075230591488,86.68696563605425,24,31,24.93,23.8,99.58436601782292,93.08021295718866,479,492,24.49,24.02,97.00613768000436,94.31662021344307,885,897,24.46,23.89,96.83248942021199,93.58429577923533,1386,1415,24.38,21.04,96.37075230591488,78.7286949075729,24,37,23.84,23.6,93.30395650308824,91.96850358056943,491,494,25.53,24.3,103.19633269765822,95.91093698226165,861,890,22.55,24.37,86.32006000380586,96.31317043107579,1482,1391,25.03,25.84,25.65,25.5,0.9112,0.9342,0.9444,0.934,23.47557297108707,24.69343121805628,24.68707640038647,24.35279955088569
C:/Users/malte/Documents/master/measurements/thesis/t40rh31.6,40,31.6,19.8628584261428,18.88,15.2,29.617844842020148,23.466389162006095,102,117,18.86,18.73,29.580928180406254,29.34194977104288,357,358,19.23,19.23,30.27044423520336,30.27044423520336,579,579,19.58,19.58,30.935588509560695,30.935588509560695,932,932,20.76,19.96,33.27322411439732,31.672186141462944,94,97,19.77,19.45,31.301992463304313,30.68705765731427,343,347,20.27,20.1,32.284408345361506,31.9474047575587,551,555,20.77,19.47,33.29367661265603,30.725179119114117,863,931,21.79,14.17,35.438441201430436,21.959277733885585,90,120,21.01,19.55,33.78784442218202,30.878079517232592,328,346,20.86,19.76,33.478244148667955,31.28261385268007,536,562,21.38,19.8,34.562246763809185,31.360191301219952,833,912,39.92,25.74,23.79,23.81,0.3184,0.6214999999999999,0.6596,0.6504000000000001,19.976573115562914,17.93731669333604,17.037769498872667,16.834876558887736
C:/Users/malte/Documents/master/measurements/thesis/t40rh48.4,40,48.42,26.958113763893714,25.13,22.38,43.329447649338704,36.73334285528485,80,93,27.92,25.54,51.054193879500154,44.39642411302274,319,349,27.23,25.59,49.040010516111245,44.52809704288494,605,648,28.14,26.26,51.71135936850525,46.32564288149824,891,996,24.69,24.48,42.20933875743278,41.68370379815404,80,81,27.61,25.96,50.140533257021524,45.51310237547815,319,341,27.01,26.64,48.41253052349642,47.372986679927365,605,612,27.22,26.49,49.01133579606129,46.95712294694332,923,961,37.27,36.54,86.3496737019975,82.98542491555726,32,35,26.35,31.08,46.57185688517338,61.22686111296638,335,277,26.56,26.46,47.15079515807887,46.874332983667884,613,616,26.95,29.86,48.24261812386812,57.10806137406894,939,796,39.92,32.3,31.2,30.16,0.4765,0.73,0.8024,0.8197,26.666738899581755,26.824550216620427,27.377417722243834,26.72956211411402
C:/Users/malte/Documents/master/measurements/thesis/t40rh75,40,74.68,34.592707826690365,34.73,33.83,75.12946279996015,71.46929243672352,58,64,35.23,34.26,77.23229058500708,73.19826296815091,207,219,35.84,34.65,79.86669168739763,74.7976610278171,391,421,35.67,34.69,79.12480174021252,74.96340269935685,644,694,33.16,32.11,68.84593286916183,64.90279736364937,69,77,35.24,34.36,77.274862348443,73.60550997467112,207,218,34.93,34.69,75.96455764049743,74.96340269935685,414,420,35.65,34.26,79.03791456870125,73.19826296815091,644,716,38.17,37.07,90.6594431636176,85.41641928186692,35,42,35.24,34.8,77.274862348443,75.4208357328028,207,212,34.93,33.88,75.96455764049743,71.66849730639056,414,439,35.65,34.26,79.03791456870125,73.19826296815091,644,716,39.95,37.86,38.02,37.54,0.7509999999999999,0.8367,0.8781,0.8743000000000001,34.67479076355985,34.601105472696965,35.63347742970354,35.083108060443955
C:/Users/malte/Documents/master/measurements/thesis/t40rh96.7,40,96.71,39.34310509194854,34.68,34.68,74.92193744868759,74.92193744868759,42,42,39.52,39.52,97.47293625563847,97.47293625563847,224,224,38.74,38.16,93.4842172652877,90.61055269149337,503,518,38.79,38.63,93.73559844938941,92.93323124206563,839,848,38.56,37.95,92.584068880949,89.58911138784345,28,30,39.53,38.86,97.52501455295047,94.08851465749228,224,232,37.62,37.57,88.0041284018209,87.76611031429599,531,533,39.9,38.35,99.4689072604087,91.54338463124937,783,861,39.98,39.08,99.89358573336865,95.20517535920561,21,25,39.53,39.26,97.52501455295047,96.12731701195823,224,227,39.34,39.1,96.5396314449359,95.30725614556764,489,494,39.9,39.44,99.4689072604087,97.05717509812398,783,806,39.98,40.05,40.11,40.23,0.9183,0.9355,0.9437000000000001,0.9438,38.388270165180785,38.80264744483782,39.02481167579682,39.145854122493205